qubit, time(s), standardDev, maxDelta, minDelta
0, 0.45357091, 0.02292462, 0.15099002, 0.00506384
1, 0.48900248, 0.00011778, 0.00037648, 0.00015553
2, 0.48272974, 0.00029477, 0.00119516, 0.00032669
3, 0.48339600, 0.01075560, 0.07051991, 0.00231894
4, 0.48563642, 0.01753523, 0.10618955, 0.00356739
5, 0.48414872, 0.00506026, 0.03343540, 0.00111366
6, 0.47947324, 0.00027186, 0.00115771, 0.00041012
7, 0.49339080, 0.00755087, 0.04801419, 0.00194277
8, 0.48567309, 0.00013729, 0.00050694, 0.00022901
9, 0.47811620, 0.01220869, 0.08305973, 0.00232223
10, 0.46865587, 0.00347083, 0.02422309, 0.00093595
11, 0.46759101, 0.00024438, 0.00134106, 0.00027800
12, 0.46982580, 0.00686785, 0.03773309, 0.00208184
13, 0.46628637, 0.00025142, 0.00111365, 0.00029732
14, 0.46939949, 0.01819972, 0.12660457, 0.00331558
15, 0.46865432, 0.00994455, 0.06279669, 0.00248324
16, 0.46689982, 0.00032151, 0.00147922, 0.00032672
17, 0.46758380, 0.00371327, 0.02590815, 0.00077683
18, 0.47195178, 0.02121724, 0.11037916, 0.00476168
19, 0.46707215, 0.00015366, 0.00042875, 0.00018922
20, 0.46766572, 0.00349042, 0.02217923, 0.00090470
21, 0.46753617, 0.00281600, 0.01961093, 0.00086615
22, 0.46711931, 0.00024847, 0.00102968, 0.00030936
23, 0.47199477, 0.02355028, 0.13509229, 0.00511075
24, 0.46766760, 0.00320743, 0.02232238, 0.00089050
25, 0.47022023, 0.00979037, 0.04963967, 0.00333613
26, 0.46860548, 0.00516158, 0.02703941, 0.00138555
27, 0.46926288, 0.00016082, 0.00051106, 0.00017980
28, 0.47671434, 0.03519897, 0.21936355, 0.00718829
29, 0.45259837, 0.01133645, 0.07932373, 0.00221348
30, 6.55452672, 1.34153757, 8.75069832, 0.46672873
31, 6.50622275, 0.57963715, 2.18450220, 0.39129982
32, 7.01718446, 0.52753151, 2.74938447, 0.43781243
33, 7.20224857, 0.41664498, 1.53764754, 0.41471366
34, 7.08734508, 0.44237812, 1.92780896, 0.32135912
35, 7.12631165, 0.46391662, 1.78034636, 0.33375374
