qubit, time(s), standardDev, maxDelta, minDelta
0, 0.12281876, 0.00652674, 0.04473228, 0.00186186
1, 0.12191177, 0.00061520, 0.00212835, 0.00075580
2, 0.12233933, 0.00120422, 0.00315753, 0.00116833
3, 0.16369698, 0.01104127, 0.01342705, 0.03644201
4, 0.12342875, 0.00495789, 0.02095730, 0.00226967
5, 0.13515036, 0.00090565, 0.00260360, 0.00204747
6, 0.15469677, 0.00394072, 0.00248234, 0.01653678
7, 0.15201212, 0.00036734, 0.00146078, 0.00080897
8, 0.14880444, 0.00025190, 0.00043939, 0.00049736
9, 0.14778148, 0.00045837, 0.00083531, 0.00097667
10, 0.13400651, 0.00431194, 0.01571058, 0.00376965
11, 0.13293202, 0.00053776, 0.00105898, 0.00077804
12, 0.12555647, 0.00257591, 0.00767756, 0.00288057
13, 0.12531272, 0.00286254, 0.00574216, 0.00336066
14, 0.12342339, 0.00132889, 0.00370259, 0.00157838
15, 0.12317320, 0.00153262, 0.00454573, 0.00172421
16, 0.12184086, 0.00080667, 0.00292024, 0.00084987
17, 0.12222651, 0.00101752, 0.00311658, 0.00120357
18, 0.12218744, 0.00070754, 0.00294345, 0.00098258
19, 0.12231618, 0.00097116, 0.00299090, 0.00095517
20, 0.12323110, 0.00133671, 0.00243695, 0.00195305
21, 0.12330827, 0.00191524, 0.00744977, 0.00221834
22, 0.12251204, 0.00141929, 0.00480491, 0.00143212
23, 0.12320777, 0.00185839, 0.00499920, 0.00212475
24, 0.12224967, 0.00106651, 0.00421637, 0.00115449
25, 0.13992609, 0.00329323, 0.00646101, 0.01714004
26, 0.14033320, 0.00287420, 0.00535295, 0.01406410
27, 0.14288198, 0.00716984, 0.01385297, 0.01931201
28, 1.41866663, 0.37914853, 2.65282056, 0.08677175
29, 1.42651153, 0.40457730, 2.83133745, 0.07764244
30, 1.14977674, 0.01198738, 0.08091612, 0.00762681
31, 1.14898312, 0.00550224, 0.03237474, 0.00645125
32, 1.49430496, 0.17217231, 0.55450123, 0.25480896
33, 1.73337677, 0.06440451, 0.22035119, 0.14573577
34, 1.77540703, 0.14835586, 0.32309203, 0.24364491
