qubit, time(s), standardDev, maxDelta, minDelta
0, 0.64254931, 0.00835097, 0.05188867, 0.00247721
1, 0.64085545, 0.00117884, 0.00789367, 0.00072755
2, 0.64234864, 0.00335170, 0.02330221, 0.00100981
3, 0.73869242, 0.03349773, 0.10136471, 0.07001438
4, 0.64004222, 0.00035794, 0.00122770, 0.00059930
5, 0.63960785, 0.00527485, 0.02330237, 0.00408668
6, 0.79044259, 0.00975169, 0.00474060, 0.06810963
7, 0.77534171, 0.00036840, 0.00111131, 0.00058075
8, 0.77720037, 0.00045411, 0.00108562, 0.00083723
9, 0.77256104, 0.00175269, 0.00858597, 0.00377103
10, 0.68258139, 0.01595307, 0.07256750, 0.03357836
11, 0.66927306, 0.02012849, 0.03161891, 0.02208821
12, 0.65312196, 0.00478676, 0.01897310, 0.00299503
13, 0.64829660, 0.00686786, 0.02171349, 0.00368643
14, 0.64666964, 0.00562617, 0.02509640, 0.00246550
15, 0.64181332, 0.00675818, 0.03580686, 0.00288037
16, 0.63894909, 0.00029048, 0.00083286, 0.00092714
17, 0.64333294, 0.00088274, 0.00362112, 0.00104378
18, 0.64278606, 0.00072870, 0.00468585, 0.00060395
19, 0.64217302, 0.00097876, 0.00615600, 0.00086113
20, 0.64196228, 0.00031225, 0.00063253, 0.00075840
21, 0.64228351, 0.00096494, 0.00626843, 0.00099952
22, 0.64181489, 0.00094597, 0.00615912, 0.00093693
23, 0.64175165, 0.00098630, 0.00582611, 0.00084270
24, 0.64163157, 0.00160896, 0.01020626, 0.00105974
25, 0.66719203, 0.02760094, 0.04592891, 0.02627497
26, 0.65854343, 0.02231234, 0.05344168, 0.01784333
27, 0.65423462, 0.01700617, 0.04472139, 0.01348779
28, 0.65627620, 0.01809717, 0.05181983, 0.01448009
29, 0.66636905, 0.01385030, 0.07834974, 0.00799093
30, 0.70138379, 0.07385491, 0.32367043, 0.04393478
