qubit, time(s), standardDev, maxDelta, minDelta
0, 0.48375955, 0.00114455, 0.00628338, 0.00279346
1, 0.48456195, 0.00107459, 0.00417611, 0.00128892
2, 0.48467074, 0.00251840, 0.01587237, 0.00135075
3, 0.62520989, 0.02234215, 0.03238407, 0.10741385
4, 0.48429646, 0.00197912, 0.00854359, 0.00205650
5, 0.50625664, 0.01628592, 0.03512543, 0.02068669
6, 0.60859301, 0.00725012, 0.00361488, 0.04927399
7, 0.59760389, 0.00033662, 0.00110522, 0.00058708
8, 0.58854607, 0.00038367, 0.00099203, 0.00079110
9, 0.58226771, 0.00194494, 0.00458127, 0.00292463
10, 0.52784778, 0.00939721, 0.02593134, 0.01863290
11, 0.52770288, 0.00793084, 0.00776904, 0.02293999
12, 0.49680304, 0.00938998, 0.03113199, 0.00703310
13, 0.48880035, 0.00349704, 0.01759785, 0.00271040
14, 0.48665032, 0.00057880, 0.00124755, 0.00117836
15, 0.48430403, 0.00279896, 0.00992004, 0.00212915
16, 0.48449265, 0.00176270, 0.01141037, 0.00098263
17, 0.48387345, 0.00155993, 0.00983349, 0.00117954
18, 0.48475682, 0.00185028, 0.01032913, 0.00130474
19, 0.48400883, 0.00098565, 0.00442334, 0.00082187
20, 0.48347493, 0.00059591, 0.00270204, 0.00075098
21, 0.48385011, 0.00186314, 0.01161493, 0.00112330
22, 0.48368653, 0.00167567, 0.01024143, 0.00104054
23, 0.48349537, 0.00047413, 0.00175367, 0.00097050
24, 0.48379212, 0.00075210, 0.00264282, 0.00103097
25, 0.51016749, 0.02126563, 0.04840957, 0.02538050
26, 0.50753440, 0.02086348, 0.03468261, 0.02582826
27, 0.50190551, 0.01786054, 0.03763764, 0.01808650
28, 0.50035452, 0.01675464, 0.03962851, 0.01811146
29, 3.13047935, 0.84362288, 5.89657878, 0.22823335
30, 3.11173666, 0.85274899, 5.96123135, 0.20193565
31, 3.17158094, 0.87532162, 6.11756000, 0.20870080
32, 3.98526693, 0.04836977, 0.09713220, 0.09382082
33, 4.16816620, 0.14357818, 0.33100077, 0.21862415
34, 3.98762619, 0.04496120, 0.10080779, 0.09228718
