qubit, time(s), standardDev, maxDelta, minDelta
0, 0.24132865, 0.00062107, 0.00299055, 0.00080865
1, 0.24110376, 0.00037344, 0.00111927, 0.00054966
2, 0.24117221, 0.00044625, 0.00183068, 0.00062026
3, 0.24624280, 0.00619619, 0.02660914, 0.00259666
4, 0.24118418, 0.00086863, 0.00553279, 0.00083727
5, 0.24331252, 0.00542269, 0.01829656, 0.00520150
6, 0.30154887, 0.00697062, 0.00252494, 0.04033294
7, 0.29699828, 0.00042009, 0.00141452, 0.00060631
8, 0.29496709, 0.00045192, 0.00188097, 0.00049916
9, 0.26467972, 0.00647737, 0.02651234, 0.01431971
10, 0.24939254, 0.00892402, 0.01485750, 0.00942758
11, 0.24839707, 0.00740164, 0.02057294, 0.00547596
12, 0.24518502, 0.00085169, 0.00273407, 0.00104988
13, 0.24372222, 0.00145512, 0.00657461, 0.00116923
14, 0.24262576, 0.00040798, 0.00179524, 0.00055461
15, 0.24206575, 0.00219269, 0.01149240, 0.00128278
16, 0.24097495, 0.00034044, 0.00138612, 0.00043182
17, 0.24303741, 0.00131568, 0.00622278, 0.00103039
18, 0.24265044, 0.00102423, 0.00465257, 0.00070351
19, 0.24292073, 0.00253552, 0.01647511, 0.00122771
20, 0.24241835, 0.00127754, 0.00508565, 0.00090557
21, 0.24208759, 0.00127480, 0.00746848, 0.00090240
22, 0.24181707, 0.00104764, 0.00552098, 0.00085409
23, 0.24146011, 0.00035508, 0.00093601, 0.00063803
24, 0.24175215, 0.00036341, 0.00122666, 0.00050521
25, 0.24561094, 0.00535610, 0.01452209, 0.00487494
26, 0.24641129, 0.00666249, 0.02305868, 0.00509140
27, 0.24312061, 0.00327198, 0.01553852, 0.00226539
28, 0.24741060, 0.00412007, 0.01148527, 0.00381763
29, 0.31079836, 0.10818027, 0.28493361, 0.06177016
30, 0.83806489, 0.06850599, 0.12611701, 0.12691281
