qubit, time(s), standardDev, maxDelta, minDelta
0, 0.61368562, 0.00415699, 0.02245328, 0.00158666
1, 0.69529284, 0.00504874, 0.02301007, 0.00262175
2, 0.66920530, 0.01072158, 0.05347864, 0.00359330
3, 0.66896815, 0.00534196, 0.02182285, 0.00246923
4, 0.66875724, 0.00382039, 0.01689983, 0.00145127
5, 0.67152702, 0.00609269, 0.03307692, 0.00206896
6, 0.65775663, 0.00614848, 0.03981833, 0.00182157
7, 0.67412651, 0.00437086, 0.01502860, 0.00198949
8, 0.66792820, 0.01380058, 0.09173078, 0.00379513
9, 0.66038824, 0.00416017, 0.02716884, 0.00116921
10, 0.64259432, 0.00896761, 0.05542065, 0.00305533
11, 0.64076876, 0.00383243, 0.01336313, 0.00215982
12, 0.64213531, 0.00801871, 0.03494371, 0.00378621
13, 0.65692820, 0.02321826, 0.10816285, 0.00815826
14, 0.65189598, 0.00683670, 0.03825005, 0.00278190
15, 0.65073073, 0.00432007, 0.02608939, 0.00160778
16, 0.65311587, 0.01136257, 0.04829921, 0.00450098
17, 0.65095069, 0.00855834, 0.05798420, 0.00240780
18, 0.65064114, 0.00453315, 0.01976598, 0.00210326
19, 0.65050315, 0.00392743, 0.01498077, 0.00204009
20, 0.65053368, 0.00886623, 0.05976336, 0.00209569
21, 0.65159695, 0.01044095, 0.06655814, 0.00316695
22, 0.64975390, 0.00331934, 0.01628603, 0.00122489
23, 0.64984823, 0.00360443, 0.01349680, 0.00147531
24, 0.65160798, 0.01108488, 0.05870097, 0.00319505
25, 0.64985375, 0.00337693, 0.01374119, 0.00139487
26, 0.73546775, 0.01198366, 0.08217733, 0.00302377
27, 0.92902930, 0.00122736, 0.00382181, 0.00298937
28, 0.83932191, 0.00726621, 0.04808016, 0.00207783
29, 1.02274567, 0.00404230, 0.02035025, 0.00232175
30, 9.10887144, 0.70441412, 3.70584662, 1.36455941
