qubit, time(s), standardDev, maxDelta, minDelta
0, 2.00903761, 0.22525667, 0.92353442, 0.49675762
1, 1.95690473, 0.16971972, 0.89068623, 0.15516571
2, 1.99093776, 0.18518453, 0.39710514, 0.27361966
3, 1.93763826, 0.14731050, 0.45342280, 0.23437833
4, 1.95095955, 0.16605956, 0.39027140, 0.24569964
5, 1.87798006, 0.07664206, 0.33446396, 0.14102812
6, 1.93170381, 0.11612492, 0.36926317, 0.22106284
7, 1.93580469, 0.14369870, 0.45394834, 0.18119661
8, 1.91750085, 0.09135211, 0.27415004, 0.17711478
9, 1.90833677, 0.14330802, 0.49707829, 0.17051068
10, 1.89384280, 0.14282263, 0.50046028, 0.23503276
11, 1.92123111, 0.15504337, 0.43089998, 0.31105504
12, 1.90011004, 0.18373724, 0.70630294, 0.25460701
13, 1.88760854, 0.11796524, 0.48815558, 0.19077554
14, 1.96640089, 0.13331346, 0.37522016, 0.19127196
15, 1.93506825, 0.14296744, 0.48369073, 0.29073524
16, 1.91174853, 0.15161734, 0.35088756, 0.20326951
17, 1.88140444, 0.13116457, 0.44165550, 0.20040953
18, 1.94450442, 0.16289586, 0.45087046, 0.27300434
19, 1.95849617, 0.17207582, 0.45565986, 0.25441914
20, 1.85182299, 0.08805406, 0.25802803, 0.14706890
21, 1.92240531, 0.16581715, 0.49973967, 0.21642724
22, 1.94328901, 0.20938528, 0.61703309, 0.21331492
23, 1.93683507, 0.15297798, 0.40515703, 0.26996405
24, 1.86963501, 0.10349456, 0.30478888, 0.16863308
25, 1.91627804, 0.16378502, 0.57215888, 0.21329093
26, 1.86669472, 0.09973992, 0.40831720, 0.15548172
27, 1.86812024, 0.14544256, 0.37864784, 0.25493323
28, 1.81933625, 0.09715502, 0.39535482, 0.12997818
29, 1.93167735, 0.17981129, 0.39956672, 0.30664342
30, 13.75921707, 2.84131054, 17.80066892, 2.66130114
31, 14.11365329, 1.09619651, 1.85726071, 1.28494025
32, 13.55785740, 0.75892499, 2.35887072, 0.63936835
33, 15.16983890, 0.74822968, 0.95490118, 1.92124702
34, 14.12478417, 0.87312848, 2.17886480, 0.86826012
35, 137.31914313, 1.60563250, 0.90972779, 8.66317118
