qubit, time(s), standardDev, maxDelta, minDelta
0, 1.76130482, 0.33151530, 1.46502313, 0.32188876
1, 1.77285216, 0.04253376, 0.17671885, 0.06235814
2, 1.68878649, 0.02710353, 0.09209653, 0.04234158
3, 1.70833257, 0.04915042, 0.18045738, 0.09830855
4, 1.70427306, 0.01807900, 0.07079294, 0.03459616
5, 1.69703395, 0.03373374, 0.17416605, 0.04402585
6, 1.66124034, 0.01794187, 0.03391370, 0.03049423
7, 1.69076878, 0.01870851, 0.03968214, 0.03351173
8, 1.69247733, 0.05388810, 0.28249962, 0.04280230
9, 1.68896047, 0.05071394, 0.19435858, 0.16068953
10, 1.64884981, 0.04560885, 0.26966728, 0.03735373
11, 1.64514927, 0.01996690, 0.05220067, 0.03775226
12, 1.63980543, 0.02704383, 0.10981649, 0.03408247
13, 1.67741483, 0.02525127, 0.14166407, 0.03890293
14, 1.69545143, 0.03927895, 0.15263153, 0.08088641
15, 1.70350439, 0.01287320, 0.05113460, 0.02296042
16, 1.70539635, 0.01921174, 0.09557672, 0.02241740
17, 1.70244353, 0.02186301, 0.10321546, 0.02191654
18, 1.70320726, 0.01902048, 0.07727468, 0.01870419
19, 1.69998280, 0.01623249, 0.08608030, 0.01603287
20, 1.70188096, 0.02068918, 0.11019015, 0.01644800
21, 1.70429414, 0.01516736, 0.04730380, 0.01590216
22, 1.70031316, 0.00939902, 0.02954694, 0.01330119
23, 1.67314453, 0.05537692, 0.20035847, 0.07688858
24, 1.64124947, 0.03529577, 0.14389944, 0.06580940
25, 1.66434257, 0.03033589, 0.15390746, 0.03595664
26, 1.66524927, 0.02461252, 0.08596164, 0.03662334
27, 1.69913295, 0.02171506, 0.04997209, 0.03437495
28, 1.73093144, 0.05057091, 0.17784848, 0.09712654
29, 1.89017333, 0.12404551, 0.47778869, 0.14083923
30, 13.10706998, 0.58100727, 3.33444203, 0.99866004
31, 13.11572617, 0.40484513, 0.85271492, 0.68651913
32, 13.03182370, 0.30977665, 0.93174319, 0.43983761
33, 13.02413710, 0.39413494, 1.39031687, 0.64388818
34, 13.38880523, 1.35109507, 4.39448072, 0.97905932
35, 137.88283635, 2.34941503, 1.89697956, 15.11441344
