qubit, trials
0,2.88497103,2.32452499
1,2.16410201,2.25287101
2,2.11947698,2.01555996
3,1.70639497,2.15853590
4,2.13635000,1.88324892
5,2.18834908,1.94103605
6,1.62373393,1.59664591
7,1.63355895,1.76777307
8,1.74575903,1.75575509
9,1.75978096,1.78433390
10,1.61595411,1.61115911
11,1.67446894,1.57607492
12,1.65543805,1.60960788
13,1.61104692,1.67929894
14,1.64201694,1.62456697
15,1.64601705,1.63153504
16,1.64442195,1.61367395
17,1.60770495,1.64241699
18,1.63405409,1.63003311
19,1.62799506,1.61260297
20,1.63765308,1.60993703
21,1.62206600,1.60267709
22,1.62388200,1.60784691
23,1.66063094,1.63266301
24,1.60910701,1.61490106
25,1.62395710,1.63028197
26,1.65328791,1.68980989
27,1.72947092,1.74041811
28,1.78618903,1.67380611
29,1.67534012,1.66186196
30,26.99232309,11.05685508
31,15.80049489,15.13834088
32,10.68156002,11.49623801
33,10.90995502,11.16738891
34,13.47124696,13.81023306
35,137.43730612,137.74056196
