qubit, time(s), standardDev, maxDelta, minDelta
0, 2.60474801, 0.28022302, 0.28022302, 0.28022302
1, 2.20848651, 0.04438450, 0.04438450, 0.04438450
2, 2.06751847, 0.05195851, 0.05195851, 0.05195851
3, 1.93246544, 0.22607047, 0.22607047, 0.22607047
4, 2.00979946, 0.12655054, 0.12655054, 0.12655054
5, 2.06469257, 0.12365651, 0.12365651, 0.12365651
6, 1.61018992, 0.01354401, 0.01354401, 0.01354401
7, 1.70066601, 0.06710706, 0.06710706, 0.06710706
8, 1.75075706, 0.00499803, 0.00499803, 0.00499803
9, 1.77205743, 0.01227647, 0.01227647, 0.01227647
10, 1.61355661, 0.00239750, 0.00239750, 0.00239750
11, 1.62527193, 0.04919701, 0.04919701, 0.04919701
12, 1.63252297, 0.02291508, 0.02291508, 0.02291508
13, 1.64517293, 0.03412601, 0.03412601, 0.03412601
14, 1.63329196, 0.00872498, 0.00872498, 0.00872498
15, 1.63877604, 0.00724100, 0.00724100, 0.00724100
16, 1.62904795, 0.01537400, 0.01537400, 0.01537400
17, 1.62506097, 0.01735602, 0.01735602, 0.01735602
18, 1.63204360, 0.00201049, 0.00201049, 0.00201049
19, 1.62029902, 0.00769605, 0.00769605, 0.00769605
20, 1.62379506, 0.01385802, 0.01385802, 0.01385802
21, 1.61237155, 0.00969445, 0.00969445, 0.00969445
22, 1.61586445, 0.00801754, 0.00801754, 0.00801754
23, 1.64664698, 0.01398397, 0.01398397, 0.01398397
24, 1.61200403, 0.00289702, 0.00289702, 0.00289702
25, 1.62711953, 0.00316243, 0.00316243, 0.00316243
26, 1.67154890, 0.01826099, 0.01826099, 0.01826099
27, 1.73494452, 0.00547359, 0.00547359, 0.00547359
28, 1.72999757, 0.05619146, 0.05619146, 0.05619146
29, 1.66860104, 0.00673908, 0.00673908, 0.00673908
30, 19.02458908, 7.96773400, 7.96773400, 7.96773400
31, 15.46941789, 0.33107700, 0.33107700, 0.33107700
32, 11.08889901, 0.40733900, 0.40733900, 0.40733900
33, 11.03867197, 0.12871694, 0.12871694, 0.12871694
34, 13.64074001, 0.16949305, 0.16949305, 0.16949305
35, 137.58893404, 0.15162792, 0.15162792, 0.15162792
